case_id,source,size_xyz,spacing,origin,direction,matches_reference
BraTS-GLI-02061-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02061-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02086-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02086-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02093-106,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02093-106,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02101-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02101-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02123-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02123-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02137-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02137-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02139-103,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02139-103,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02143-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02143-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02143-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02143-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02151-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02151-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02153-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02153-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02171-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02171-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02181-102,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02181-102,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02184-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02184-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02185-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02185-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02192-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02192-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02194-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02194-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02196-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02196-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02198-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02198-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02205-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02205-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02206-104,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02206-104,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02208-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02208-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02216-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02216-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02217-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02217-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02220-102,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02220-102,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02221-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02221-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02227-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02227-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02229-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02229-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02230-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02230-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02238-102,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02238-102,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02243-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02243-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02245-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02245-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02245-103,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02245-103,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02247-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02247-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02247-103,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02247-103,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02248-102,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02248-102,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02285-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02285-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02300-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02300-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02306-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02306-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02307-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02307-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02344-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02344-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02382-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02382-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02498-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02498-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02549-102,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02549-102,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02553-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02553-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02558-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02558-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02561-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02561-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02635-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02635-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02664-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02664-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02699-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02699-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02701-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02701-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02744-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02744-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02744-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02744-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02746-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02746-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02753-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02753-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02755-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02755-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02761-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02761-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02789-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02789-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02793-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-02793-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
