case_id,modalidad,otsu_low,otsu_high,bimodalidad
BraTS-GLI-02923-101,t1n,1564.3604736328125,2323.318115234375,0.5094224810600281
BraTS-GLI-02923-101,t1c,2299.786376953125,3938.71240234375,0.2849217653274536
BraTS-GLI-02923-101,t2w,1619.9483642578125,2467.021484375,0.4314839541912079
BraTS-GLI-02923-101,t2f,496.80169677734375,853.9462890625,0.401408314704895
BraTS-GLI-02992-101,t1n,2026.4031982421875,3114.635986328125,0.5374786257743835
BraTS-GLI-02992-101,t1c,1639.311767578125,3029.0751953125,0.2505240738391876
BraTS-GLI-02992-101,t2w,1066.5673828125,1711.8115234375,0.48219504952430725
BraTS-GLI-02992-101,t2f,473.24847412109375,832.376220703125,0.36588016152381897
BraTS-GLI-03025-101,t1n,1381.790283203125,2079.625,0.5621589422225952
BraTS-GLI-03025-101,t1c,2428.375,4269.89697265625,0.19056084752082825
BraTS-GLI-03025-101,t2w,1756.9906005859375,2718.28515625,0.5731627941131592
BraTS-GLI-03025-101,t2f,446.86517333984375,764.7388916015625,0.35942596197128296
